exercice,niveau,groupe_musculaire,materiel,zone_du_corps
Bodyweight Push Up Alternating Kick Through,intermédiaire,pectoraux,Bodyweight,haut du corps
Single Arm Dumbbell Turkish Get Up,intermédiaire,abdominaux,Dumbbell,corps entier
Bodyweight Bear Crawl,débutant,abdominaux,Bodyweight,sangle abdominale
Stability Ball Knee Tuck,débutant,abdominaux,Stability Ball,sangle abdominale
Ring Hanging Leg Raise ,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Parallette L Sit,avancé,abdominaux,barres parallèles,sangle abdominale
Bodyweight Standing Walkout Plank,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Bodyweight Standing Walkout Push-Up ,intermédiaire,pectoraux,Bodyweight,haut du corps
Barbell Climb,intermédiaire,abdominaux,Barbell,sangle abdominale
Bodyweight Ipsilateral Bird Dog,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Bodyweight Copenhagen Plank Knee to Elbow,intermédiaire,adducteurs,Bodyweight,bas du corps
Ring Dead Hang,débutant,dos,anneaux de gymnastique,haut du corps
Suspension Archer Row ,débutant,épaules,sangles de suspension,haut du corps
Ring Eccentric Pull Up,débutant,dos,anneaux de gymnastique,haut du corps
Ring Pull Up,intermédiaire,dos,anneaux de gymnastique,haut du corps
Ring Eccentric Chin Up,débutant,biceps,anneaux de gymnastique,haut du corps
Miniband Fire Hydrant,débutant,fessiers,mini élastique,bas du corps
Medicine Ball Russian Twist,débutant,abdominaux,medecine ball,sangle abdominale
Bodyweight Side Plank,débutant,abdominaux,Bodyweight,sangle abdominale
Cable Reverse Ankle Strap Crunch,intermédiaire,abdominaux,Cable,sangle abdominale
Cable Half Kneeling High to Low Chop,intermédiaire,abdominaux,Cable,sangle abdominale
Cable Half Kneeling Low to High Chop,intermédiaire,abdominaux,Cable,sangle abdominale
Kettlebell Half Kneeling Low to High Chop,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Single Arm Dumbbell Windmill,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Single Arm Kettlebell Windmill,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Kettlebell Russian Twist,débutant,abdominaux,Kettlebell,sangle abdominale
Bodyweight Feet On Wall Mountain Climber ,avancé,abdominaux,Bodyweight,sangle abdominale
Alternating Single Arm Kettlebell Plank Pull Through,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Bodyweight Hollow Body Hold,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Dumbbell Crush Grip Hollow Body Hold,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Inverted Hanging Crunch,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Bodyweight Supine Alternating Single Leg Raise,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Supine Leg Raise,débutant,abdominaux,Bodyweight,sangle abdominale
Miniband Bicycle Crunch,débutant,abdominaux,mini élastique,sangle abdominale
Bodyweight Side Plank Reach Through,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Sit Up,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Butterfly Sit Up,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Slider Mountain Climber,débutant,abdominaux,disques de glisse,sangle abdominale
Slider Pike ,avancé,abdominaux,disques de glisse,sangle abdominale
Stability Ball Pike,avancé,abdominaux,Stability Ball,sangle abdominale
Slider Wide Mountain Climber,intermédiaire,abdominaux,disques de glisse,sangle abdominale
Stability Ball Crunch,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Feet Elevated Oblique Crunch,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Kneeling Rollout,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Single Leg Knee Tuck,avancé,abdominaux,Stability Ball,sangle abdominale
Stability Ball Single Leg Pike,intermédiaire,abdominaux,Stability Ball,sangle abdominale
Parallette Kneeling Push Up,débutant,pectoraux,barres parallèles,haut du corps
Single Arm Kettlebell Swing,débutant,fessiers,Kettlebell,corps entier
Double Dumbbell Romanian Deadlift,débutant,ischio-jambiers,Dumbbell,bas du corps
Single Arm Dumbbell Side Plank,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Bodyweight Single Leg Glute Bridge,débutant,fessiers,Bodyweight,bas du corps
Dumbbell Glute Bridge,débutant,fessiers,Dumbbell,bas du corps
Bodyweight Glute Bridge Alternating Single Leg Extension,débutant,fessiers,Bodyweight,bas du corps
Miniband Side Lying Clamshell,débutant,fessiers,mini élastique,bas du corps
Miniband Side Lying Hip Abduction,débutant,abducteurs,mini élastique,bas du corps
Miniband Bench Seated Hip Abduction,débutant,abducteurs,mini élastique,bas du corps
Miniband Glute Bridge With Hip Abduction,débutant,fessiers,mini élastique,bas du corps
Stability Ball Hip Thrust,débutant,fessiers,Stability Ball,bas du corps
Stability Ball Dumbbell Hip Thrust,débutant,fessiers,Stability Ball,bas du corps
Bodyweight Frog Pump,débutant,fessiers,Bodyweight,bas du corps
Dumbbell Frog Pump,débutant,fessiers,Dumbbell,bas du corps
Cable Glute Kickback,débutant,fessiers,Cable,bas du corps
Bodyweight Single Leg Foot Elevated Glute Bridge,débutant,fessiers,Bodyweight,bas du corps
Suspension Glute Bridge,débutant,fessiers,sangles de suspension,bas du corps
Miniband Thigh Lateral Walk,débutant,abducteurs,mini élastique,bas du corps
Miniband Shin Lateral Walk,débutant,abducteurs,mini élastique,bas du corps
Miniband Feet Lateral Walk,intermédiaire,abducteurs,mini élastique,bas du corps
Miniband Standing Glute Kickback,débutant,fessiers,mini élastique,bas du corps
Barbell Hip Thrust,débutant,fessiers,Barbell,bas du corps
Barbell Single Leg Hip Thrust,intermédiaire,fessiers,Barbell,bas du corps
Stability Ball Single Leg Foot Elevated Glute Bridge,intermédiaire,fessiers,Stability Ball,bas du corps
Miniband Standing Hip Abduction,débutant,abducteurs,mini élastique,bas du corps
Miniband 3-Way Cha Cha,débutant,abducteurs,mini élastique,bas du corps
Barbell Standing Calf Raise,intermédiaire,mollets,Barbell,bas du corps
Cable Hip Abduction,débutant,abducteurs,Cable,bas du corps
Miniband Wall Sit Hip Abduction,débutant,quadriceps,mini élastique,bas du corps
Stability Ball T's Y's I's ,débutant,épaules,Stability Ball,haut du corps
Resistance Band Reverse Fly,débutant,épaules,Resistance Band,haut du corps
Resistance Band Lateral Raise,débutant,épaules,Resistance Band,haut du corps
Double Dumbbell Lateral Raise,débutant,épaules,Dumbbell,haut du corps
Single Arm Resistance Band Standing Shoulder External Rotation,débutant,épaules,Resistance Band,haut du corps
Double Dumbbell Seated Lateral Raise,débutant,épaules,Dumbbell,haut du corps
Bodyweight Pike Push Up,intermédiaire,épaules,Bodyweight,haut du corps
Single Arm Dumbbell Side Lying Shoulder External Rotation,débutant,épaules,Dumbbell,haut du corps
Single Arm Dumbbell Seated Shoulder External Rotation,débutant,épaules,Dumbbell,haut du corps
Miniband Standing Shoulder External Rotation,débutant,épaules,mini élastique,haut du corps
Double Dumbbell Seated Cuban Rotation,débutant,épaules,Dumbbell,haut du corps
Double Dumbbell Standing Cuban Rotation,débutant,épaules,Dumbbell,haut du corps
Single Arm Cable Half Kneeling Shoulder External Rotation 90 Degrees,débutant,épaules,Cable,haut du corps
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,débutant,épaules,Dumbbell,haut du corps
Parallette Feet Elevated Pike Push Up ,intermédiaire,épaules,barres parallèles,haut du corps
Barbell Thruster,intermédiaire,épaules,Barbell,corps entier
Barbell Sots Press,intermédiaire,épaules,Barbell,haut du corps
Double Dumbbell Z Press,intermédiaire,épaules,Dumbbell,haut du corps
Single Arm Dumbbell Z Press,intermédiaire,épaules,Dumbbell,haut du corps
Stability Ball Dumbbell Arnold Press,débutant,épaules,Stability Ball,haut du corps
Single Arm Dumbbell Half Kneeling Overhead Press,débutant,épaules,Dumbbell,haut du corps
Single Arm Cable Lateral Raise,débutant,épaules,Cable,haut du corps
Double Dumbbell Thruster,débutant,épaules,Dumbbell,corps entier
Single Arm Dumbbell Thruster,débutant,épaules,Dumbbell,corps entier
Parallette Handstand Push Up,avancé,épaules,barres parallèles,haut du corps
Double Dumbbell Seated Overhead Press,débutant,épaules,Dumbbell,haut du corps
Double Dumbbell Overhead Press,débutant,épaules,Dumbbell,haut du corps
Single Arm Dumbbell Overhead Carry,intermédiaire,épaules,Dumbbell,corps entier
Bodyweight Freestanding Handstand Push Up,avancé,épaules,Bodyweight,haut du corps
Barbell Shrug,débutant,trapèzes,Barbell,haut du corps
Double Dumbbell Shrug,débutant,trapèzes,Dumbbell,haut du corps
Cable Standing Face Pull,débutant,épaules,Cable,haut du corps
Cable Seated Face Pull,débutant,épaules,Cable,haut du corps
Double Dumbbell Standing Scaption,débutant,épaules,Dumbbell,haut du corps
Double Dumbbell Seated Scaption,débutant,épaules,Dumbbell,haut du corps
Stability Ball Dumbbell Seated Scaption,débutant,épaules,Stability Ball,haut du corps
Cable Standing Knee Strap Hip External Rotation (90 Degrees),débutant,fessiers,Cable,bas du corps
Cable Hip External Rotation,débutant,fessiers,Cable,bas du corps
Double Dumbbell Bicep Curl,débutant,biceps,Dumbbell,haut du corps
Alternating Double Dumbbell Bicep Curl,débutant,biceps,Dumbbell,haut du corps
Alternating Double Dumbbell Hammer Curl,débutant,biceps,Dumbbell,haut du corps
Alternating Double Dumbbell Cross Body Hammer Curl,débutant,biceps,Dumbbell,haut du corps
Cable Guillotine Curl,débutant,biceps,Cable,haut du corps
Cable Supine Bicep Curl,débutant,biceps,Cable,haut du corps
Single Arm Dumbbell Incline Bench Preacher Curl,débutant,biceps,Dumbbell,haut du corps
Dumbbell Crush Grip Bicep Curl,débutant,biceps,Dumbbell,haut du corps
Double Dumbbell Zottman Curl,débutant,biceps,Dumbbell,haut du corps
Dumbbell Waiter Curl,débutant,biceps,Dumbbell,haut du corps
High Cable Straight Bar Bicep Curl,débutant,biceps,Cable,haut du corps
Cable Straight Bar Drag Curl,débutant,biceps,Cable,haut du corps
Double Dumbbell Spider Curl,débutant,biceps,Dumbbell,haut du corps
EZ Bar Spider Curl,débutant,biceps,barre EZ,haut du corps
Parallette Side Plank,intermédiaire,abdominaux,barres parallèles,sangle abdominale
Parallette Feet Elevated Push Up,intermédiaire,pectoraux,barres parallèles,haut du corps
Parallette Plank Single Arm Dumbbell Row,intermédiaire,dos,barres parallèles,haut du corps
Stability Ball Cable Preacher Curl,débutant,biceps,Stability Ball,haut du corps
Single Arm Dumbbell Standing Concentration Curl,débutant,biceps,Dumbbell,haut du corps
Reverse Barbell Curl,débutant,avant-bras,Barbell,haut du corps
EZ Bar Standing Bicep Curl,débutant,biceps,barre EZ,haut du corps
Cable Rope Hammer Curl,débutant,biceps,Cable,haut du corps
Single Arm Cable Standing High Bicep Curl,débutant,biceps,Cable,haut du corps
Suspension Bicep Curl,débutant,biceps,sangles de suspension,haut du corps
Double Dumbbell Standing Tricep Kickback,débutant,triceps,Dumbbell,haut du corps
EZ Bar Seated Overhead Tricep Extension,débutant,triceps,barre EZ,haut du corps
EZ Bar Standing Overhead Tricep Extension,débutant,triceps,barre EZ,haut du corps
Dumbbell Seated Overhead Tricep Extension,débutant,triceps,Dumbbell,haut du corps
Dumbbell Standing Overhead Tricep Extension,débutant,triceps,Dumbbell,haut du corps
Bodyweight Diamond Push Up,débutant,triceps,Bodyweight,haut du corps
Double Dumbbell Close Grip Floor Chest Press,débutant,triceps,Dumbbell,haut du corps
Double Dumbbell Close Grip Bench Press,débutant,triceps,Dumbbell,haut du corps
Double Dumbbell Close Grip Incline Bench Press,débutant,triceps,Dumbbell,haut du corps
EZ Bar Lying Tricep Extension ,débutant,triceps,barre EZ,haut du corps
Stability Ball Feet Elevated Diamond Push Up,débutant,triceps,Stability Ball,haut du corps
Bodyweight Tricep Extension,intermédiaire,triceps,Bodyweight,haut du corps
Cable Rope Standing Overhead Tricep Extension,débutant,triceps,Cable,haut du corps
Cable Rope Standing Tricep Pushdown ,débutant,triceps,Cable,haut du corps
Ring Dips,avancé,triceps,anneaux de gymnastique,haut du corps
Single Arm Cable Reverse Tricep Pulldown,débutant,triceps,Cable,haut du corps
Double Dumbbell Suitcase Carry,débutant,avant-bras,Dumbbell,corps entier
Barbell Seated Wrist Curl,intermédiaire,avant-bras,Barbell,haut du corps
EZ Bar Reverse Grip Bicep Curl,débutant,avant-bras,barre EZ,haut du corps
Bodyweight Incline Push Up,débutant,pectoraux,Bodyweight,haut du corps
Bodyweight Kneeling Push Up,débutant,pectoraux,Bodyweight,haut du corps
Suspension Chest Press,débutant,pectoraux,sangles de suspension,haut du corps
Suspension Chest Fly,débutant,pectoraux,sangles de suspension,haut du corps
Double Dumbbell Glute Bridge Chest Press,débutant,pectoraux,Dumbbell,corps entier
Stability Ball Single Arm Dumbbell Chest Press,débutant,pectoraux,Dumbbell,haut du corps
Stability Ball Double Dumbbell Chest Fly,débutant,pectoraux,Stability Ball,haut du corps
Bodyweight Burpee,intermédiaire,pectoraux,Bodyweight,corps entier
Double Dumbbell Devil Press,avancé,épaules,Dumbbell,corps entier
Alternating Single Arm Dumbbell Devil Press,avancé,épaules,Dumbbell,corps entier
Single Arm Dumbbell Hollow Body Chest Press,intermédiaire,pectoraux,Dumbbell,haut du corps
Bodyweight Plyometric Push Up On Weight Plates,intermédiaire,pectoraux,Bodyweight,haut du corps
Stability Ball Dumbbell Pullover ,débutant,pectoraux,Stability Ball,haut du corps
Double Dumbbell Incline Bench Chest Fly,débutant,pectoraux,Dumbbell,haut du corps
Bodyweight Single Arm Push Up,avancé,pectoraux,Bodyweight,haut du corps
Bodyweight Aztec Push Up,avancé,pectoraux,Bodyweight,haut du corps
Single Arm Ring Grip Push Up,avancé,pectoraux,anneaux de gymnastique,haut du corps
Bodyweight Rolling Squat Burpee,avancé,pectoraux,Bodyweight,corps entier
Ring Grip Push Up,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Suspension Low Row,débutant,dos,sangles de suspension,haut du corps
Suspension Mid Row,débutant,dos,sangles de suspension,haut du corps
Suspension Face Pull,débutant,épaules,sangles de suspension,haut du corps
Cable Seated V Grip Low Row,débutant,dos,Cable,haut du corps
Landmine V Grip Row,débutant,dos,landmine,haut du corps
Single Arm Landmine Row,débutant,dos,landmine,haut du corps
Single Arm Kettlebell Bent Over Row,débutant,dos,Kettlebell,haut du corps
Double Kettlebell Gorilla Row,débutant,dos,Kettlebell,haut du corps
Superband Assisted Wide Grip Pull Up,débutant,dos,super élastique,haut du corps
Resistance Band Half Kneeling Face Pull,débutant,épaules,Resistance Band,haut du corps
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,intermédiaire,dos,Dumbbell,haut du corps
Stability Ball Prone Cobra,débutant,dos,Stability Ball,haut du corps
Bodyweight Prone Cobra,débutant,dos,Bodyweight,haut du corps
Double Dumbbell Pendlay Row,débutant,dos,Dumbbell,haut du corps
Double Dumbbell Single Leg Row,intermédiaire,dos,Dumbbell,haut du corps
Cable Straight Bar Pullover,débutant,dos,Cable,haut du corps
Single Arm Dumbbell Bird Dog Row,intermédiaire,dos,Dumbbell,haut du corps
Single Arm Cable Half Kneeling Lat Pulldown,débutant,dos,Cable,haut du corps
Single Arm Cable Half Kneeling Low Row,débutant,dos,Cable,haut du corps
Single Arm Suspension Low Row,débutant,dos,sangles de suspension,haut du corps
Single Arm Dumbbell Suitcase Deadlift,débutant,dos,Dumbbell,corps entier
Single Arm Kettlebell Suitcase Deadlift,débutant,dos,Kettlebell,corps entier
Double Dumbbell Incline Bench Prone Row,débutant,dos,Dumbbell,haut du corps
Ring Archer Pull Up,avancé,dos,anneaux de gymnastique,haut du corps
Double Dumbbell Renegade Row ,intermédiaire,dos,Dumbbell,haut du corps
Barbell Conventional Deadlift,débutant,dos,Barbell,corps entier
Barbell Sumo Deadlift,débutant,dos,Barbell,corps entier
Barbell Rack Pull,débutant,dos,Barbell,
Barbell Snatch Grip Deadlift,intermédiaire,dos,Barbell,corps entier
Barbell Pendlay Row,débutant,dos,Barbell,haut du corps
Stability Ball Hyperextension,débutant,dos,Stability Ball,
Barbell Seated Good Morning ,intermédiaire,dos,Barbell,
Barbell Good Morning,intermédiaire,dos,Barbell,
Bodyweight Wall Sit ,débutant,quadriceps,Bodyweight,bas du corps
Stability Ball Wall Slide Squat,débutant,quadriceps,Stability Ball,bas du corps
Suspension Squat,débutant,quadriceps,sangles de suspension,bas du corps
Suspension Alternating Reverse Lunge,débutant,quadriceps,sangles de suspension,bas du corps
Bodyweight Squat to Bench,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Hand Assisted Split Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Walking Lunge,débutant,quadriceps,Bodyweight,bas du corps
Dumbbell Goblet Squat ,débutant,quadriceps,Dumbbell,bas du corps
Miniband Romanian Deadlift,débutant,ischio-jambiers,mini élastique,bas du corps
Superband Resisted Skater Jump,débutant,abducteurs,super élastique,bas du corps
Cable Prone Single Leg Hamstring Curl,débutant,ischio-jambiers,Cable,bas du corps
Bodyweight Candlestick Roll Up Tuck Jump,intermédiaire,fessiers,Bodyweight,
Barbell Bench Press,débutant,pectoraux,Barbell,haut du corps
Barbell Bicep Curl,débutant,biceps,Barbell,haut du corps
Barbell Block Pull Deadlift,débutant,dos,Barbell,corps entier
Barbell Box Pause Back Squat,débutant,quadriceps,Barbell,bas du corps
Barbell Deficit Deadlift,intermédiaire,dos,Barbell,corps entier
Barbell Front Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Glute Bridge,débutant,fessiers,Barbell,bas du corps
Barbell Halting Deadlift,débutant,dos,Barbell,corps entier
Barbell High Bar Back Squat,débutant,quadriceps,Barbell,bas du corps
Barbell Low Bar Back Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Overhead Press,débutant,épaules,Barbell,haut du corps
Barbell Power Clean,intermédiaire,fessiers,Barbell,corps entier
Barbell Power Snatch,intermédiaire,fessiers,Barbell,corps entier
Barbell Push Press,débutant,épaules,Barbell,haut du corps
Barbell Romanian Deadlift,débutant,ischio-jambiers,Barbell,bas du corps
Barbell Row,débutant,dos,Barbell,haut du corps
Barbell Back Rack Split Squat,débutant,quadriceps,Barbell,bas du corps
Barbell Stiff Legged Deadlift,débutant,ischio-jambiers,Barbell,bas du corps
Barbell Sumo Squat,débutant,fessiers,Barbell,bas du corps
Bodyweight Pistol Squat,intermédiaire,quadriceps,Bodyweight,bas du corps
Bodyweight Skater Squat,intermédiaire,quadriceps,Bodyweight,bas du corps
Cable Pull Through,débutant,fessiers,Cable,bas du corps
Double Dumbbell Suitcase Bulgarian Split Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Box Step Up,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Deficit Split Squat,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Seated Reverse Fly,débutant,épaules,Dumbbell,haut du corps
Double Dumbbell Suitcase Split Squat,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Alternating Box Step Up,débutant,quadriceps,Dumbbell,bas du corps
Bodyweight Face the Wall Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Feet Elevated Glute Bridge,débutant,fessiers,Bodyweight,bas du corps
Single Arm Kettlebell Clean,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Clean to Overhead Press,intermédiaire,épaules,Kettlebell,corps entier
Kettlebell Alternating Halo,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Overhead Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Snatch,intermédiaire,épaules,Kettlebell,corps entier
Kettlebell Sumo Deadlift,débutant,dos,Kettlebell,corps entier
Single Arm Kettlebell Turkish Get Up,intermédiaire,abdominaux,Kettlebell,corps entier
Miniband Monster Walk,débutant,abducteurs,mini élastique,bas du corps
Bodyweight Quadruped Hip Extension,débutant,fessiers,Bodyweight,bas du corps
Suspension Pistol Squat,intermédiaire,quadriceps,sangles de suspension,bas du corps
Suspension Skater Squat,débutant,quadriceps,sangles de suspension,bas du corps
Bodyweight Tuck Jump,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Alternating Single Leg Wall Sit,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Single Leg Romanian Deadlift Jump,intermédiaire,ischio-jambiers,Bodyweight,bas du corps
Double Dumbbell Overhead Walking Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Stability Ball Overhead Walking Lunge,débutant,quadriceps,Stability Ball,bas du corps
Bodyweight Leg Extension,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Lateral Bench Jump,débutant,fessiers,Bodyweight,bas du corps
Single Arm Dumbbell Front Rack Squat,débutant,quadriceps,Dumbbell,bas du corps
Bodyweight Skater Jump,débutant,abducteurs,Bodyweight,bas du corps
Slider Single Arm Dumbbell Front Rack Reverse Lunge,intermédiaire,quadriceps,disques de glisse,bas du corps
Cable Prone Hamstring Curl,débutant,ischio-jambiers,Cable,bas du corps
Bodyweight Bulgarian Split Squat Jumps,intermédiaire,quadriceps,Bodyweight,bas du corps
Cable Standing Single Leg Hamstring Curl,débutant,ischio-jambiers,Cable,bas du corps
Bodyweight Nordic Hamstring Curl,avancé,ischio-jambiers,Bodyweight,bas du corps
Superband Assisted Pistol Squat,intermédiaire,quadriceps,super élastique,bas du corps
Kettlebell Goblet Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Dumbbell Front Rack Squat,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Walking Lunge,débutant,quadriceps,Dumbbell,bas du corps
Barbell Back Rack Walking Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Bodyweight Box Pistol Squat,débutant,quadriceps,Bodyweight,bas du corps
Barbell Overhead Squat,intermédiaire,quadriceps,Barbell,bas du corps
Single Arm Kettlebell Overhead Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Landmine Goblet Squat,débutant,quadriceps,landmine,bas du corps
Stability Ball Hamstring Curl,débutant,ischio-jambiers,Stability Ball,bas du corps
Slider Hamstring Curl,débutant,ischio-jambiers,disques de glisse,bas du corps
Bodyweight Hamstring Walkout ,débutant,ischio-jambiers,Bodyweight,bas du corps
Slider Dumbbell Goblet Reverse Lunge,débutant,quadriceps,disques de glisse,bas du corps
Bodyweight Dragon Pistol Squat,intermédiaire,quadriceps,Bodyweight,bas du corps
Single Arm Dumbbell Front Rack Cossack Squat to Overhead Press,intermédiaire,épaules,Dumbbell,corps entier
Stability Ball Single Leg Hamstring Curl,intermédiaire,ischio-jambiers,Stability Ball,bas du corps
Barbell Single Leg Romanian Deadlift,intermédiaire,ischio-jambiers,Barbell,bas du corps
Double Dumbbell Suitcase Lateral Lunge,débutant,quadriceps,Dumbbell,bas du corps
Barbell Frankenstein Walking Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Overhead Walking Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Squat Clean,intermédiaire,quadriceps,Barbell,corps entier
Landmine Clean and Jerk,intermédiaire,épaules,landmine,corps entier
Landmine Hack Squat,intermédiaire,quadriceps,landmine,bas du corps
Single Arm Landmine Shoulder Press,intermédiaire,épaules,landmine,haut du corps
Alternating Single Arm Landmine Shoulder Press,intermédiaire,épaules,landmine,haut du corps
Single Arm Landmine Half Kneeling Shoulder Press,intermédiaire,épaules,landmine,haut du corps
Single Arm Landmine Tall Kneeling Shoulder Press,intermédiaire,épaules,landmine,haut du corps
Single Arm Landmine Meadows Row,débutant,dos,landmine,haut du corps
Single Arm Landmine Z Press,intermédiaire,épaules,landmine,haut du corps
Barbell Z Press,intermédiaire,épaules,Barbell,haut du corps
Landmine Half Kneeling Oblique Twist ,intermédiaire,abdominaux,landmine,sangle abdominale
Cable Seated Bicep Curl,débutant,biceps,Cable,haut du corps
Single Arm Dumbbell Seated Concentration Curl,débutant,biceps,Dumbbell,haut du corps
Alternating Double Dumbbell Incline Bench Bicep Curl,débutant,biceps,Dumbbell,haut du corps
Single Arm Suspension Bicep Curl,intermédiaire,biceps,sangles de suspension,haut du corps
Stability Ball Single Arm Plank,intermédiaire,abdominaux,Stability Ball,sangle abdominale
Stability Ball Feet Elevated Single Arm Plank,intermédiaire,abdominaux,Stability Ball,sangle abdominale
Landmine Zercher Skater Squat,intermédiaire,quadriceps,landmine,bas du corps
Landmine Reverse Lunge to Single Arm Shoulder Press,intermédiaire,épaules,landmine,corps entier
Landmine Thruster,débutant,épaules,landmine,corps entier
Landmine Romanian Deadlift,débutant,ischio-jambiers,landmine,bas du corps
Landmine Single Leg Romanian Deadlift,intermédiaire,ischio-jambiers,landmine,bas du corps
Landmine Tall Kneeling Oblique Twist,intermédiaire,abdominaux,landmine,sangle abdominale
Landmine Russian Twist,intermédiaire,abdominaux,landmine,sangle abdominale
Single Arm Landmine Thruster,intermédiaire,épaules,landmine,corps entier
Landmine Calf Raise,débutant,mollets,landmine,bas du corps
Cable Tall Kneeling Overhead Tricep Extension ,débutant,triceps,Cable,haut du corps
Cable Rope Skullcrusher,débutant,triceps,Cable,haut du corps
Barbell Power Clean to Overhead Press,intermédiaire,épaules,Barbell,corps entier
